SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
CALLE CHINCHILLA VIEJA DE SAN RAFAEL DE OREAMUNO,NACIENTE REGINA,"1093542","511315",28.78800000000,San Rafael,Oreamuno,Cartago,2.00000000000,"307",-83.89682236720,9.88965278984
POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 2,"1100069","515140",15.72500000000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86191884760,9.94865662262
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE MARIO IVANCOVICH,"1092595","513507",39.25333333000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87683748150,9.88108338528
HIGUERONES DE OREAMUNO,NACIENTE HIGUERONES,"1091963","514196",26.56750000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87055713350,9.87536654581
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LANKASTER,"1092500","514115",34.85333333000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87129382470,9.88022233104
CALLE LUCAS DE OREAMUNO,NACIENTE LUCAS,"1092461","513458",18.62923077000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87728473250,9.87987193324
YERRIS DE SAN RAFAEL DE OREAMUNO,NACIENTE TURBINA O PASO ANCHO,"1092618","514200",43.73437500000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87051834500,9.88128897831
SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE VILLALTA,"1092719","513770",25.71000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87443891540,9.88220369547
PARAÍSO DE CARTAGO: CENTRO,NACIENTE MERO,"1089784","513893",72.51000000000,Llanos de Santa Lucia,Paraiso,Cartago,3.00000000000,"302",-83.87333022550,9.85566165633
PARAÍSO DE CARTAGO: CENTRO,NACIENTE GUAYABAL,"1089656","513863",67.81000000000,Llanos de Santa Lucia,Paraiso,Cartago,3.00000000000,"302",-83.87359872680,9.85450439149
LOS LAGOS PIRCEM,NAC. HELECHOS DE CUERO,"1089639","513191",48.57000000000,Llanos de Santa Lucia,Paraiso,Cartago,2.00000000000,"302",-83.87972950570,9.85435834390
"PARAÍSO: INVU, LA SOLEDAD, LA LAGUNA Y CALLE A OROSI",NACIENTE BOQUERON 1,"1092995","515478",19.70000000000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.85886630040,9.88469580385
BIRRISITO DE PARAÍSO,NACIENTE CAPIRA,"1092296","515996",21.43000000000,Birrisito,Paraiso,Cartago,2.00000000000,"302",-83.85414296980,9.87836717497
PARRUÁS DE PARAÍSO,NACIENTE PARRUÁS,"1090378","518024",6.40000000000,Santiago,Paraiso,Cartago,1.00000000000,"302",-83.83566326070,9.86102173414
PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE NICANOR,NACIENTE NICANOR,"1086245","524086",1.39000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.78041113990,9.82362200282
HUERTAS DE BIRRISITO,MEZCLA DE NACIENTES HUERTAS 1 Y 2,"1092695","515252",12.65000000000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.86092548680,9.88198137889
CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE,"1085796","522039",1.34000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79907839120,9.81957197118
CIUDADELA LOS ROBLES DE CACHÍ,NACIENTE CHILAMATE 2,"1085711","521967",1.27000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79973707710,9.81880470346
CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE 1,"1085706","521965",1.38000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79974895760,9.81875678838
PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE JORGE OBANDO,NACIENTE JORGE OBANDO,"1086546","523258",1.29000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.78795901630,9.82634932860
LOAIZA DE CACHI,NACIENTE LOAIZA,"1085087","520136",0.88000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.81643098210,9.81316567636
VOLIO DE CACHI,MEZCLA DE NACIENTES VOLIO,"1084498","521300",1.20000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.80582245860,9.80783679051
